timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
3999502,inf,1,0,0,0
5014460,inf,1,0,0,0
6021973,inf,1,0,0,0
7040478,inf,1,0,0,0
9057564,inf,1,0,0,0
10066506,inf,1,0,0,0
11087571,inf,1,0,0,0
12106470,inf,1,0,0,0
13115270,inf,1,0,0,0
14120483,inf,1,0,0,0
15134512,inf,1,0,0,0
16148470,inf,1,0,0,0
17163470,inf,1,0,0,0
18183306,inf,1,0,0,0
19197740,inf,1,0,0,0
20200473,inf,1,0,0,0
21217065,inf,1,0,0,0
22230527,inf,1,0,0,0
23245571,inf,1,0,0,0
24254629,inf,1,0,0,0
25276041,inf,1,0,0,0
26290522,inf,1,0,0,0
27311277,inf,1,0,0,0
28323529,inf,1,0,0,0
29340474,inf,1,0,0,0
30356910,inf,1,0,0,0
31374388,inf,1,0,0,0
32376071,inf,1,0,0,0
33387481,inf,1,0,0,0
34401591,inf,1,0,0,0
35411470,inf,1,0,0,0
36421522,inf,1,0,0,0
37432921,inf,1,0,0,0
38443292,inf,1,0,0,0
39458518,inf,1,0,0,0
40470538,inf,1,0,0,0
41482470,inf,1,0,0,0
42492482,inf,1,0,0,0
44520482,inf,1,0,0,0
45539508,inf,1,0,0,0
46549727,inf,1,0,0,0
47567475,inf,1,0,0,0
48587511,inf,1,0,0,0
49598509,inf,1,0,0,0
50610484,inf,1,0,0,0
51623259,inf,1,0,0,0
52637571,inf,1,0,0,0
53655470,inf,1,0,0,0
54664476,inf,1,0,0,0
55677931,inf,1,0,0,0
56695259,inf,1,0,0,0
57700470,inf,1,0,0,0
58716474,inf,1,0,0,0
59735474,inf,1,0,0,0
60750519,inf,1,0,0,0
61760480,inf,1,0,0,0
62777605,inf,1,0,0,0
63790521,inf,1,0,0,0
64800522,inf,1,0,0,0
65817744,inf,1,0,0,0
66831570,inf,1,0,0,0
67843481,inf,1,0,0,0
68844316,inf,1,0,0,0
69857603,inf,1,0,0,0
70871154,inf,1,0,0,0
71876179,inf,1,0,0,0
72884520,inf,1,0,0,0
73900480,inf,1,0,0,0
74917600,inf,1,0,0,0
75931470,inf,1,0,0,0
76949596,inf,1,0,0,0
77966588,inf,1,0,0,0
78976064,inf,1,0,0,0
79985697,inf,1,0,0,0
80999483,inf,1,0,0,0
82013560,inf,1,0,0,0
83022480,inf,1,0,0,0
84037611,inf,1,0,0,0
85046741,inf,1,0,0,0
86068041,inf,1,0,0,0
87080510,inf,1,0,0,0
88088505,inf,1,0,0,0
89099529,inf,1,0,0,0
90112553,inf,1,0,0,0
91125568,inf,1,0,0,0
92142518,inf,1,0,0,0
93155517,inf,1,0,0,0
94171470,inf,1,0,0,0
95187471,inf,1,0,0,0
96205566,inf,1,0,0,0
97222473,inf,1,0,0,0
98234504,inf,1,0,0,0
99244505,inf,1,0,0,0
100261520,inf,1,0,0,0
101278470,inf,1,0,0,0
102291339,inf,1,0,0,0
103300475,inf,1,0,0,0
104314474,inf,1,0,0,0
105331281,inf,1,0,0,0
106350470,inf,1,0,0,0
107362696,inf,1,0,0,0
108381180,inf,1,0,0,0
109393659,inf,1,0,0,0
110409197,inf,1,0,0,0
111423470,inf,1,0,0,0
112427674,inf,1,0,0,0
113447470,inf,1,0,0,0
114463213,inf,1,0,0,0
115478470,inf,1,0,0,0
116495512,inf,1,0,0,0
117513539,inf,1,0,0,0
118530470,inf,1,0,0,0
120542481,inf,1,0,0,0
121554470,inf,1,0,0,0
122572116,inf,1,0,0,0
123587470,inf,1,0,0,0
124599431,inf,1,0,0,0
125617629,inf,1,0,0,0
126627470,inf,1,0,0,0
127627542,inf,1,0,0,0
128640820,inf,1,0,0,0
129655292,inf,1,0,0,0
130668473,inf,1,0,0,0
131680481,inf,1,0,0,0
132687467,inf,1,0,0,0
133699481,inf,1,0,0,0
134714471,inf,1,0,0,0
135726470,inf,1,0,0,0
136739483,inf,1,0,0,0
137744475,inf,1,0,0,0
138760931,inf,1,0,0,0
139778495,inf,1,0,0,0
140796077,inf,1,0,0,0
141811525,inf,1,0,0,0
142828485,inf,1,0,0,0
143838510,inf,1,0,0,0
144852509,inf,1,0,0,0
145865133,inf,1,0,0,0
146873885,inf,1,0,0,0
147879330,inf,1,0,0,0
148893635,inf,1,0,0,0
149900481,inf,1,0,0,0
150913050,inf,1,0,0,0
151927470,inf,1,0,0,0
152945587,inf,1,0,0,0
153960893,inf,1,0,0,0
154974683,inf,1,0,0,0
155996029,inf,1,0,0,0
157011527,inf,1,0,0,0
158024483,inf,1,0,0,0
159039470,inf,1,0,0,0
160052470,inf,1,0,0,0
161061657,inf,1,0,0,0
162075470,inf,1,0,0,0
163093537,inf,1,0,0,0
164109760,inf,1,0,0,0
165122477,inf,1,0,0,0
166125560,inf,1,0,0,0
167138501,inf,1,0,0,0
168155478,inf,1,0,0,0
169173142,inf,1,0,0,0
170188484,inf,1,0,0,0
171207879,inf,1,0,0,0
172217930,inf,1,0,0,0
173230477,inf,1,0,0,0
174245588,inf,1,0,0,0
175263508,inf,1,0,0,0
176272479,inf,1,0,0,0
177285585,inf,1,0,0,0
178294544,inf,1,0,0,0
179297549,inf,1,0,0,0
180311482,inf,1,0,0,0
